"","Name","Capacity","Location","Surface","Team","Opened","Distance to center field","Type","Rooftype","Cost","url","colorcode","Basecity","GeographicArea","coordX","coordY","Population2010","hallcoordX","hallcoordY"
"1","American Family Field",41900,"Milwaukee, Wisconsin","Grass","Milwaukee Brewers",2001,"400 feet (122 m)","Retro-modern","Retractable",400,"https://en.wikipedia.org/wiki/American_Family_Field","#12284B","Milwaukee","Milwaukee city","43.02833"," -87.97111","594833","43.041766000000003","-87.909768999999997"
"2","Angel Stadium",45517,"Anaheim, California","Grass","Los Angeles Angels",1966,"396 feet (121 m)","Modern
Retro-modern","Open",24,"https://en.wikipedia.org/wiki/Angel_Stadium","#003263","Anaheim","Anaheim city","33.80028"," -117.88278","336265","33.834521000000002","-117.91276999999999"
"3","Busch Stadium",45494,"St. Louis, Missouri","Grass","St. Louis Cardinals",2006,"400 feet (122 m)","Retro-classic","Open",365,"https://en.wikipedia.org/wiki/Busch_Stadium","#C41E3A","St. Louis","St. Louis city, MO","38.62250"," -90.19306","319294","38.626530000000002","-90.199393000000001"
"4","Chase Field",48405,"Phoenix, Arizona","Artificial turf","Arizona Diamondbacks",1998,"407 feet (124 m)","Retro-modern","Retractable",354,"https://en.wikipedia.org/wiki/Chase_Field","#A71930","Phoenix","Phoenix city","33.44528"," -112.06694","1445632","33.448782000000001","-112.077088"
"5","Citi Field",41922,"Queens, New York","Grass","New York Mets",2009,"408 feet (124 m)","Retro-classic","Open",900,"https://en.wikipedia.org/wiki/Citi_Field","#002D72","New York","New York city, NY","40.75694"," -73.84583","8175133","40.713414999999998","-74.004808999999995"
"6","Citizens Bank Park",42792,"Philadelphia, Pennsylvania","Grass","Philadelphia Phillies",2004,"401 feet (122 m)","Retro-classic","Open",458,"https://en.wikipedia.org/wiki/Citizens_Bank_Park","#E81828","Philadelphia","Philadelphia city, PA","39.90583"," -75.16639","1526006","39.952218000000002","-75.162595999999994"
"7","Comerica Park",41083,"Detroit, Michigan","Grass","Detroit Tigers",2000,"420 feet (128 m)","Retro-classic","Open",300,"https://en.wikipedia.org/wiki/Comerica_Park","#0C2340","Detroit","Detroit city","42.33917"," -83.04861","713777","42.328913","-83.044479999999993"
"8","Coors Field",50144,"Denver, Colorado","Grass","Colorado Rockies",1995,"415 feet (126 m)","Retro-classic","Open",300,"https://en.wikipedia.org/wiki/Coors_Field","#333366","Denver","Denver city","39.75611"," -104.99417","600158","39.739241999999997","-104.990967"
"9","Dodger Stadium",56000,"Los Angeles, California","Grass","Los Angeles Dodgers",1962,"395 feet (120 m)","Modern","Open",23,"https://en.wikipedia.org/wiki/Dodger_Stadium","#005A9C","Los Angeles","Los Angeles city","34.07361"," -118.24000","3792621","34.053989000000001","-118.24339999999999"
"10","Fenway Park",37755,"Boston, Massachusetts","Grass","Boston Red Sox",1912,"390 feet (119 m)","Jewel box","Open",0.65,"https://en.wikipedia.org/wiki/Fenway_Park","#BD3039","Boston","Boston city, MA","42.346250"," -71.097750","617594","42.359183999999999","-71.057760999999999"
"11","Globe Life Field",40300,"Arlington, Texas","Artificial turf","Texas Rangers",2020,"407 feet (124 m)","Retro-modern","Retractable",1100,"https://en.wikipedia.org/wiki/Globe_Life_Field","#003278","Dallas","Dallas city","32.747361"," -97.08417","1197816","32.776901000000002","-96.795786000000007"
"12","Great American Ball Park",42319,"Cincinnati, Ohio","Grass","Cincinnati Reds",2003,"404 feet (123 m)","Retro-modern","Open",290,"https://en.wikipedia.org/wiki/Great_American_Ball_Park","#C6011F","Cincinnati","Cincinnati city, OH","39.09750"," -84.50667","296943","39.104256999999997","-84.519060999999994"
"13","Guaranteed Rate Field",40615,"Chicago, Illinois","Grass","Chicago White Sox",1991,"400 feet (122 m)","Modern
Retro-classic","Open",137,"https://en.wikipedia.org/wiki/Guaranteed_Rate_Field","#27251F","Chicago","Chicago city, IL","41.83000"," -87.63389","2695598","41.883484000000003","-87.632337000000007"
"14","Kauffman Stadium",37903,"Kansas City, Missouri","Grass","Kansas City Royals",1973,"410 feet (125 m)","Modern
Retro-modern","Open",70,"https://en.wikipedia.org/wiki/Kauffman_Stadium","#004687","Kansas City","Kansas City city, MO","39.051"," -94.48","459787","39.09984","-94.578362999999996"
"15","LoanDepot Park",36742,"Miami, Florida","Artificial turf","Miami Marlins",2012,"407 feet (124 m)","Contemporary","Retractable",634,"https://en.wikipedia.org/wiki/LoanDepot_Park","#00A3E0","Miami","Miami city","25.77806"," -80.21972","399457","25.728905000000001","-80.233903999999995"
"16","Minute Maid Park",41168,"Houston, Texas","Grass","Houston Astros",2000,"409 feet (125 m)[15]","Retro-modern","Retractable",250,"https://en.wikipedia.org/wiki/Minute_Maid_Park","#002D62","Houston","Houston city","29.75694"," -95.35556","2099451","29.760204999999999","-95.369677999999993"
"17","Nationals Park",41339,"Washington, D.C.","Grass","Washington Nationals",2008,"402 feet (123 m)","Retro-modern","Open",693,"https://en.wikipedia.org/wiki/Nationals_Park","#AB0003","Washington","Washington city, DC","38.87278"," -77.00750","601723","38.895373999999997","-77.030827000000002"
"18","Oracle Park",41265,"San Francisco, California","Grass","San Francisco Giants",2000,"391 feet (119 m)","Retro-classic","Open",357,"https://en.wikipedia.org/wiki/Oracle_Park","#FD5A1E","San Francisco","San Francisco city","37.77861"," -122.38917","805235","37.778503000000001","-122.418307"
"19","Oriole Park at Camden Yards",45971,"Baltimore, Maryland","Grass","Baltimore Orioles",1992,"410 feet (125 m)","Retro-classic","Open",110,"https://en.wikipedia.org/wiki/Oriole_Park_at_Camden_Yards","#DF4601","Baltimore","Baltimore city","39.28389"," -76.62167","620961","39.290863999999999","-76.610523999999998"
"20","Petco Park",40209,"San Diego, California","Grass","San Diego Padres",2004,"396 feet (121 m)","Retro-modern","Open",450,"https://en.wikipedia.org/wiki/Petco_Park","#2F241D","San Diego","San Diego city","32.7073"," -117.1566","1307402","32.716788000000001","-117.162931"
"21","PNC Park",38747,"Pittsburgh, Pennsylvania","Grass","Pittsburgh Pirates",2001,"399 feet (122 m)","Retro-classic","Open",216,"https://en.wikipedia.org/wiki/PNC_Park","#FDB827","Pittsburgh","Pittsburgh city","40.44694"," -80.00583","305704","40.438412999999997","-79.997181999999995"
"22","Progressive Field",34830,"Cleveland, Ohio","Grass","Cleveland Guardians",1994,"410 feet (125 m)","Retro-modern","Open",175,"https://en.wikipedia.org/wiki/Progressive_Field","#00385D","Cleveland","Cleveland city, OH","41.49583"," -81.68528","396815","41.504679000000003","-81.694362999999996"
"23","RingCentral Coliseum",46847,"Oakland, California","Grass","Oakland Athletics",1966,"400 feet (122 m)","Multipurpose","Open",25.5,"https://en.wikipedia.org/wiki/Oakland_Coliseum","#003831","Oakland","Oakland city","37.75167"," -122.20056","390724","37.805300000000003","-122.27249999999999"
